"x","y","synthetic_region"
1,1,"matrix"
2,1,"matrix"
3,1,"matrix"
4,1,"matrix"
5,1,"matrix"
6,1,"matrix"
7,1,"matrix"
8,1,"matrix"
9,1,"matrix"
10,1,"matrix"
11,1,"matrix"
12,1,"matrix"
13,1,"matrix"
14,1,"matrix"
15,1,"matrix"
16,1,"matrix"
17,1,"matrix"
18,1,"matrix"
19,1,"matrix"
20,1,"matrix"
21,1,"matrix"
22,1,"matrix"
23,1,"matrix"
24,1,"matrix"
25,1,"matrix"
26,1,"matrix"
27,1,"matrix"
28,1,"matrix"
29,1,"matrix"
30,1,"matrix"
31,1,"matrix"
32,1,"matrix"
33,1,"matrix"
34,1,"matrix"
35,1,"matrix"
36,1,"matrix"
37,1,"matrix"
38,1,"matrix"
39,1,"matrix"
40,1,"matrix"
41,1,"matrix"
42,1,"matrix"
43,1,"matrix"
44,1,"matrix"
45,1,"matrix"
1,2,"matrix"
2,2,"matrix"
3,2,"matrix"
4,2,"matrix"
5,2,"matrix"
6,2,"matrix"
7,2,"matrix"
8,2,"matrix"
9,2,"matrix"
10,2,"matrix"
11,2,"matrix"
12,2,"matrix"
13,2,"matrix"
14,2,"region_a"
15,2,"matrix"
16,2,"matrix"
17,2,"matrix"
18,2,"matrix"
19,2,"matrix"
20,2,"matrix"
21,2,"matrix"
22,2,"matrix"
23,2,"matrix"
24,2,"matrix"
25,2,"matrix"
26,2,"matrix"
27,2,"matrix"
28,2,"matrix"
29,2,"matrix"
30,2,"region_b"
31,2,"region_b"
32,2,"region_b"
33,2,"region_b"
34,2,"region_b"
35,2,"region_b"
36,2,"region_b"
37,2,"matrix"
38,2,"matrix"
39,2,"matrix"
40,2,"matrix"
41,2,"matrix"
42,2,"matrix"
43,2,"matrix"
44,2,"matrix"
45,2,"matrix"
1,3,"matrix"
2,3,"matrix"
3,3,"matrix"
4,3,"matrix"
5,3,"matrix"
6,3,"matrix"
7,3,"matrix"
8,3,"matrix"
9,3,"matrix"
10,3,"matrix"
11,3,"region_a"
12,3,"region_a"
13,3,"region_a"
14,3,"region_a"
15,3,"region_a"
16,3,"region_a"
17,3,"region_a"
18,3,"matrix"
19,3,"matrix"
20,3,"matrix"
21,3,"matrix"
22,3,"matrix"
23,3,"matrix"
24,3,"matrix"
25,3,"matrix"
26,3,"matrix"
27,3,"matrix"
28,3,"region_b"
29,3,"region_b"
30,3,"region_b"
31,3,"region_b"
32,3,"region_b"
33,3,"region_b"
34,3,"region_b"
35,3,"region_b"
36,3,"region_b"
37,3,"region_b"
38,3,"region_b"
39,3,"matrix"
40,3,"matrix"
41,3,"matrix"
42,3,"matrix"
43,3,"matrix"
44,3,"matrix"
45,3,"matrix"
1,4,"matrix"
2,4,"matrix"
3,4,"matrix"
4,4,"matrix"
5,4,"matrix"
6,4,"matrix"
7,4,"matrix"
8,4,"matrix"
9,4,"region_a"
10,4,"region_a"
11,4,"region_a"
12,4,"region_a"
13,4,"region_a"
14,4,"region_a"
15,4,"region_a"
16,4,"region_a"
17,4,"region_a"
18,4,"region_a"
19,4,"region_a"
20,4,"matrix"
21,4,"matrix"
22,4,"matrix"
23,4,"matrix"
24,4,"matrix"
25,4,"matrix"
26,4,"matrix"
27,4,"region_b"
28,4,"region_b"
29,4,"region_b"
30,4,"region_b"
31,4,"region_b"
32,4,"region_b"
33,4,"region_b"
34,4,"region_b"
35,4,"region_b"
36,4,"region_b"
37,4,"region_b"
38,4,"region_b"
39,4,"region_b"
40,4,"matrix"
41,4,"matrix"
42,4,"matrix"
43,4,"matrix"
44,4,"matrix"
45,4,"matrix"
1,5,"matrix"
2,5,"matrix"
3,5,"matrix"
4,5,"matrix"
5,5,"matrix"
6,5,"matrix"
7,5,"matrix"
8,5,"region_a"
9,5,"region_a"
10,5,"region_a"
11,5,"region_a"
12,5,"region_a"
13,5,"region_a"
